Trace File Name, Cache Size (KB), Block Size (bytes), Associativity, Replacement Policy, Total Blocks (KB), Total Blocks Exponent (2^X), Tag Size (bits), Index Size (bits), Total Indicies (KB), Overhead Memory Size (KB), Implementation Memory Size (KB), Cache Hit Rate %, CPI
"A-9_new 1.5.pdf.trc", 64, 4, 2, RR, 16.0, 14, 17, 13, 8.0, 36.0, 100.0, 95.77, 6.820983243828796
"A-9_new 1.5.pdf.trc", 64, 4, 2, RND, 16.0, 14, 17, 13, 8.0, 36.0, 100.0, 95.79, 5.060793939813001
"A-9_new 1.5.pdf.trc", 64, 16, 2, RR, 4.0, 12, 17, 11, 2.0, 9.0, 73.0, 98.36, 6.981684221848326
"A-9_new 1.5.pdf.trc", 64, 16, 2, RND, 4.0, 12, 17, 11, 2.0, 9.0, 73.0, 98.47, 5.141716796890005
"A-9_new 1.5.pdf.trc", 64, 64, 2, RR, 1.0, 10, 17, 9, 0.5, 2.25, 66.25, 99.29, 8.210493158472968
"A-9_new 1.5.pdf.trc", 64, 64, 2, RND, 1.0, 10, 17, 9, 0.5, 2.25, 66.25, 99.41, 5.709920790405728
"A-9_new 1.5.pdf.trc", 256, 4, 2, RR, 64.0, 16, 15, 15, 32.0, 128.0, 384.0, 95.05, 6.944772243605995
"A-9_new 1.5.pdf.trc", 256, 4, 2, RND, 64.0, 16, 15, 15, 32.0, 128.0, 384.0, 95.13, 5.1596445940028115
"A-9_new 1.5.pdf.trc", 256, 16, 2, RR, 16.0, 14, 15, 13, 8.0, 32.0, 288.0, 98.21, 7.154270480405037
"A-9_new 1.5.pdf.trc", 256, 16, 2, RND, 16.0, 14, 15, 13, 8.0, 32.0, 288.0, 98.20, 5.345452939052405
"A-9_new 1.5.pdf.trc", 256, 64, 2, RR, 4.0, 12, 15, 11, 2.0, 8.0, 264.0, 99.37, 7.790820599104187
"A-9_new 1.5.pdf.trc", 256, 64, 2, RND, 4.0, 12, 15, 11, 2.0, 8.0, 264.0, 99.39, 5.7824002581418394
"A-9_new 1.5.pdf.trc", 1024, 4, 2, RR, 256.0, 18, 13, 17, 128.0, 448.0, 1472.0, 94.19, 7.036842833106691
"A-9_new 1.5.pdf.trc", 1024, 4, 2, RND, 256.0, 18, 13, 17, 128.0, 448.0, 1472.0, 94.60, 5.231728397907207
"A-9_new 1.5.pdf.trc", 1024, 16, 2, RR, 64.0, 16, 13, 15, 32.0, 112.0, 1136.0, 97.86, 7.490008527900062
"A-9_new 1.5.pdf.trc", 1024, 16, 2, RND, 64.0, 16, 13, 15, 32.0, 112.0, 1136.0, 97.90, 5.579282580803774
"A-9_new 1.5.pdf.trc", 1024, 64, 2, RR, 16.0, 14, 13, 13, 8.0, 28.0, 1052.0, 99.27, 8.338949454905848
"A-9_new 1.5.pdf.trc", 1024, 64, 2, RND, 16.0, 14, 13, 13, 8.0, 28.0, 1052.0, 99.27, 6.258960057159979
